dis,date,jv number,jv,credit,debit
دفعه بيد محمد حسنين,2024-01-17,202418,Receipts,500.0,0.0
دفعه من محمد حسنين الي علي لي الاوبر,2024-01-18,202417,Receipts,200.0,0.0
دفعه من حماده الي روبيل +850 من حسن,2024-01-18,2024129,G.Ledger,10000.0,0.0
CHEQUE LULU B RING ROAD NO.1016354,2024-01-18,2024130,G.Ledger,0.0,11398.9
CHEQUE LULU BIN MAHMOUD NO.00012717,2024-01-18,2024131,G.Ledger,0.0,12224.42
CHEQUE LULU SALWA ROAD NO.00122228,2024-01-18,2024132,G.Ledger,0.0,17698.01
CHEQUE LULU MESHAF NO.00115629,2024-01-18,2024133,G.Ledger,0.0,18269.16
CHEQUE LULU EZDAN OASIS NO.01019308,2024-01-18,2024134,G.Ledger,0.0,19809.48
CHEQUE LULU PEARL NO.01004045,2024-01-18,2024135,G.Ledger,0.0,19989.05
CHEQUE LULU BARWA NO.1043817,2024-01-18,2024136,G.Ledger,0.0,42514.08
CHEQUE LULU AINKHALID NO.01006812,2024-01-18,2024137,G.Ledger,0.0,46421.51
CHEQUE LULU MESSILA NO.1036468,2024-01-18,2024138,G.Ledger,0.0,62357.14
من درج حسن,2024-01-20,202420,Receipts,500.0,0.0
اقفال فواتير سي ار حتي 20/1/2024,2024-01-20,2024246,G.Ledger,91518.0,0.0
اقفال فواتيرسبار حتي 20/1/2024,2024-01-20,2024246,G.Ledger,71852.0,0.0
دفعه من درج حسن 160 عشارات و 3الف فائه 200 رلي رواتب و سكند اوردر,2024-01-20,202419,Receipts,3260.0,0.0
دفعه من فيزا حسن,2024-01-21,2024140,G.Ledger,2000.0,0.0
CHEQUE LULU MDEENATH NO.01001731,2024-01-21,2024141,G.Ledger,0.0,4578.58
CHEQUE LULU EXPRESS RAYAN NO.1021878,2024-01-21,2024142,G.Ledger,0.0,7488.17
دفعه من محمد حسنين الي محمج علي اوبر,2024-01-21,202421,Receipts,40.0,0.0
تحويل الى محى الدين ستاركينج,2024-01-21,2024161,G.Ledger,20000.0,0.0
تجويل سبار تاريخ 22/1/2024 عن النص التاني من شهر 11/2023,2024-01-22,2024156,G.Ledger,0.0,153767.91
تحويل من محمد حسنين الي محمد علي,2024-01-23,2024245,G.Ledger,200.0,0.0
CHEQUE SAUDIA HYPERMARKET NO.1031070,2024-01-23,2024149,G.Ledger,0.0,18630.0
دفعه بيد حسن,2024-01-24,2024157,G.Ledger,2000.0,0.0
رول من الاستور,2024-01-24,2024464,G.Ledger,190.0,0.0
دفعه من محمد حسنين,2024-01-24,202422,Receipts,200.0,0.0
دفعه جنه بلدنا  اخدهم محمد في الاستور,2024-01-25,2024158,G.Ledger,0.0,21000.0
دفعه بيد حسن الي روبل,2024-01-26,2024216,G.Ledger,8000.0,0.0
شيك الايمان رقم 815 مشتريات شهر 12  استحقاق تاريخ 26/2/2024,2024-01-27,2024217,G.Ledger,36882.0,0.0
شيك الايمان رقم 814مشتريات شهر 12  استحقاق تاريخ 15/2/2024,2024-01-27,2024217,G.Ledger,36882.0,0.0
دفعه بيد حسن,2024-01-27,202423,Receipts,5000.0,0.0
دفعه بيد حسن,2024-01-27,2024249,G.Ledger,5000.0,0.0
دفعه بيد حسن الي شرف,2024-01-28,2024250,G.Ledger,10000.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 817 بتاريخ 22/2,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 818بتاريخ 08/03/,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حسال الرواسي شهر 11,2024-01-28,2024247,G.Ledger,4060.0,0.0
دفعه من محمد حسنين,2024-01-28,202424,Receipts,90.0,0.0
دفعه بيد شمسير ايجار سياره شمسير,2024-01-28,2024244,G.Ledger,10000.0,0.0
دفعه من روهيل,2024-01-29,202425,Receipts,7000.0,0.0
دفعه من سليم هندي,2024-01-29,202426,Receipts,5000.0,0.0
دفعه محد شريف  في الاستور,2024-01-29,2024248,G.Ledger,0.0,7000.0
تجويل من محمد حسنين,2024-01-29,2024254,G.Ledger,1000.0,0.0
بترول لهشام من الحكمه,2024-01-29,2024458,G.Ledger,100.0,0.0
دفعه الي محمد شريف,2024-01-30,2024255,G.Ledger,0.0,4000.0
دفعه بيد حسن,2024-01-30,2024257,G.Ledger,1000.0,0.0
خصم المندرين الكاش,2024-01-31,2024258,G.Ledger,0.0,1500.0
ديزل شهر 1,2024-01-31,2024274,G.Ledger,0.0,1750.0
دفعه بيد حسن,2024-01-31,202427,Receipts,1000.0,0.0
ايجار الاستور شهر 1,2024-01-31,2024636,G.Ledger,16000.0,0.0
رول سي ار,2024-01-31,2024459,G.Ledger,200.0,0.0
